Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
Erk,37670,essential,3902.459432,0.509443384,191,0.008870317,,kinase,31-869,0.00643,"J133, J134, J135, J136, J165, J166, J167, J168, J63",0.138637236
FRS2,4846,essential,101.7226793,0.290169422,21,0.000103499,"18452557, 11278445",PTB,13-111,0.01149,"J103, J104, J107, J108, J112, J118, J120, J164, J35, J36, J37, J46, J47, J77, J78, J84, J85, J87, J88, J92",0.023212642
FRS2,4846,essential,101.7226793,0.290169422,21,0.000103499,"18452557, 11278445",Shp2 binding,420-474,0.04773,"J107, J108, J164, J33, J38, J43, J44, J83, J86",0.06585701
Grb2,1576,essential,297.1049447,0.115384647,675,0.064063325,"19323566, 18279888",SH2,58-151,0.01174,"J117, J22, J24, J30, J95, J96",0.134188514
Grb2,1576,essential,297.1049447,0.115384647,675,0.064063325,"19323566, 18279888",SH3,"2-55, 160-214",0.00572,"J124, J3, J4, J50",0.065937971
Mek,2063,essential,1606.587219,0.602320513,49,0.000796282,,kinase,205-601,0.01244,"J133, J134, J135, J136, J140, J141, J142, J143, J144, J145, J146, J147, J148, J149, J150, J151, J152, J153, J154, J155, J156, J157, J158, J159, J161, J162, J163, J58, J61",0.175891675
Mkp3,55621,non-essential,1775.885341,0.598789908,5,6.66152E-05,9596579,PTP,207-346,0.0036,,
Mkp3,55621,non-essential,1775.885341,0.598789908,5,6.66152E-05,9596579,RHO,16-149,0.03056,"J165, J166, J167, J168",0.074236285
NGF,1876,essential,,,9,0.000172236,,NGF,302-567,0.13544,J70,0.009017566
PP2A,37660,essential,18444.9707,0.824555788,103,0.003672409,12932319,phosphatase,77-379,0.00794,"J58, J61, J62",0.097040346
Rap1,68719,essential,1638.716377,0.585861276,10,4.62367E-05,19091745,Ras-like,26-176,0.00351,"J122, J139, J53, J67, J68",0.017231048
Rap1GAP,2163,,,,12,5.01697E-05,19091745,RapGAP,353-541,0.01157,"J122, J139",0.011483643
Ras,37990,essential,2491.603902,0.41569717,16,0.000178811,,Ras-like,153-316,0.01142,"J121, J137, J52, J54, J66, J69",0.039055319
RasGAP,2168,essential,3229.175273,0.672353265,70,0.000970888,17540168,GAP,870-1068,0.02696,"J121, J137, J138",0.015221162
RasGAP,2168,essential,3229.175273,0.672353265,70,0.000970888,17540168,SH2,"290-383, 460-552",0.02366,J49,0.06465831
Shc1,7934,essential,1220.781469,0.538294351,149,0.003617758,18279888,CH1,374-527,0.12997,"J117, J13, J21, J22, J24, J30, J32, J81, J82, J95, J96",0.140197047
Shc1,7934,essential,1220.781469,0.538294351,149,0.003617758,18279888,PTB,184-351,0.02515,"J105, J106, J109, J110, J115, J116, J12, J18, J20, J23, J27, J29, J7, J75, J76, J79, J80, J89, J90, J93, J94",0.032153396
Shc1,7934,essential,1220.781469,0.538294351,149,0.003617758,18279888,SH2,527-621,0.02324,,
Sos1,4117,essential,52.97791124,0.240154093,53,0.000691435,"17515907, 7673108",GEF,1202-1470,0.01023,J69,0.436257082
Sos1,4117,essential,52.97791124,0.240154093,53,0.000691435,"17515907, 7673108",PRR,1617-2033,0.03127,"J10, J11, J124, J3, J4, J50, J51",0.036124237
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",NGF binding,387-470,0.07862,J70,0.009017566
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",juxta-membrane,539-617,0.06358,"J100, J101, J102, J105, J106, J107, J108, J109, J110, J72, J73, J74, J75, J76, J77, J78, J79, J80, J84, J85, J87, J89, J90, J92, J93, J94, J97, J99",0.01296049
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",kinase,642-887,0.02465,"J123, J81, J82, J83, J86",0.084263883
