Protein,Homologene UID,Knockout essentiality,Expression level,Expression breadth,Interaction degree,Betweeness centrality,References (PMIDs),Domain,Amino acids,dN/dS,Reactions,Dynamical influence
NGF,1876,essential,,,9,0.000172236,,NGF,302-567,0.13544,"NGFBindingReaction, NGFUnbindingReaction",0.16946517
PP2A,37660,essential,18444.9707,0.824555788,103,0.003672409,12932319,phosphatase,77-379,0.00794,"BRafbyPPtaseDeactivationReaction, ErkDeactivationReaction, MekDeactivationReaction, Raf1byPPtaseDeactivationReaction",0.450020535
Pik3cb,21250,essential,150.724056,0.194327094,10,3.9905E-05,"19091745, 11136978",C2,363-550,0.07259,PI3KbyEGFRActivationReaction,0.022927631
Pik3cb,21250,essential,150.724056,0.194327094,10,3.9905E-05,"19091745, 11136978",RBD,206-319,0.09019,PI3KbyRasActivationReaction,0.115076511
Pik3cb,21250,essential,150.724056,0.194327094,10,3.9905E-05,"19091745, 11136978",kinase,760-1127,0.0287,AktActivationReaction,0.367057981
Pik3cb,21250,essential,150.724056,0.194327094,10,3.9905E-05,"19091745, 11136978",p85-binding,59-145,0.06995,PI3KbyEGFRActivationReaction,0.022927631
Pik3r2,3687,non-essential,322.2548428,0.41249792,43,0.000360409,22009150,SH2,"564-661, 856-953",0.01132,PI3KbyEGFRActivationReaction,0.022927631
Rap1,68719,essential,1638.716377,0.585861276,10,4.62367E-05,19091745,Ras-like,26-176,0.00351,"BRafByRap1ActivationReaction, Rap1ActivationReaction",0.517184557
Ras,37990,essential,2491.603902,0.41569717,16,0.000178811,,Ras-like,153-316,0.01142,"PI3KbyRasActivationReaction, Raf1ByRasActivationReaction, RasActivationReaction, RasDeactivationReaction",0.391735678
RasGAP,2168,essential,3229.175273,0.672353265,70,0.000970888,17540168,GAP,870-1068,0.02696,RasDeactivationReaction,0.875574471
RasGAP,2168,essential,3229.175273,0.672353265,70,0.000970888,17540168,SH2,"290-383, 460-552",0.02366,,
Sos1,4117,essential,52.97791124,0.240154093,53,0.000691435,"17515907, 7673108",GEF,1202-1470,0.01023,RasActivationReaction,0.453482648
Sos1,4117,essential,52.97791124,0.240154093,53,0.000691435,"17515907, 7673108",PRR,1617-2033,0.03127,"SosActivationByEGFReaction, SosActivationByNGFReaction, SosDeactivationReaction",0.226815389
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",NGF binding,387-470,0.07862,"NGFBindingReaction, NGFUnbindingReaction",0.16946517
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",juxta-membrane,539-617,0.06358,,
TrkA,1898,essential,68.94126015,0.043153959,44,0.00047064,"17196528, 10966463",kinase,642-887,0.02465,"C3GActivationReaction, SosActivationByNGFReaction",0.059607073
p90rsk,55703,,428.193539,0.367244507,34,0.000691345,,kinase,"73-404, 429-689",0.01751,"P90RskActivationReaction, SosDeactivationReaction",0.523997013
